x,y
37.641539851,26.769836284
36.034086302,28.513635941
34.210192935,30.312544454
32.320573152,31.203458757
30.360925914,32.493711884
28.349724963,33.317117405
26.359067616,33.385721260
24.414369494,33.269454770
22.588974299,33.459111638
20.260207998,33.923189699
17.712765878,33.737199945
16.427445166,32.693515630
13.882807260,32.346784577
11.333353545,32.631352447
8.852343322,32.239254364
6.701386715,30.862188675
4.225489983,30.117833911
1.733618103,29.427492680
-0.751590019,28.713690673
-3.207749639,27.906799225
-5.557327599,26.831431086
-7.884197929,25.703746925
-10.200586388,24.554746836
-12.488454925,23.350168006
-14.703478587,22.017911514
-16.626774676,20.592235265
-18.372411829,19.660499150
-20.401983192,18.135342715
-21.726233998,16.574762940
-23.762618482,15.834061480
-25.660012024,14.406720367
-27.642170822,12.769619840
-29.743581882,11.264507111
-31.100098676,9.175876128
-31.630064555,7.242294700
-33.357937139,5.324675087
-35.326187627,3.648302329
-36.914940359,1.656919973
-37.600415322,-0.831615925
-38.038336010,-3.379934926
-38.712995650,-5.869167684
-39.878515560,-8.137185064
-40.469734192,-10.536245648
-39.725111903,-11.510857076
-40.343930931,-13.964667111
-40.505903585,-16.447983938
-39.151333533,-18.552825573
-39.065730899,-20.870975819
-38.783900360,-21.827539565
-37.193373982,-23.177223707
-35.710661678,-25.177615489
-33.821418997,-26.808561497
-32.570973995,-28.746084123
-31.301985412,-29.279701155
-29.740003817,-30.563577287
-27.601361170,-31.178891338
-25.491803406,-32.595363684
-23.852935079,-33.044496582
-21.840612650,-32.975525619
-19.409624319,-33.825237811
-17.255696642,-34.304469499
-16.531599072,-33.551999675
-13.970537227,-33.433055906
-11.966579979,-34.341254291
-9.843748215,-33.090632394
-7.333703969,-32.865522422
-5.163499571,-32.698817652
-2.724420576,-32.254314867
-1.124532074,-30.596978239
1.441825610,-30.610376759
3.951819496,-30.011994693
6.343416279,-29.032272767
8.619888658,-27.808845809
10.665956411,-26.238824949
12.611332696,-24.681891198
14.918330046,-23.531986766
16.938226102,-21.920260001
18.833051236,-20.161088618
20.683042840,-18.354588847
22.523265560,-16.538113828
24.371647542,-14.729951317
26.222713948,-12.924788867
27.924422631,-10.978914156
29.498433888,-8.927796579
30.983626383,-6.811324335
32.398439659,-4.647114178
33.751901051,-2.443992217
35.047499650,-0.206347506
36.284135937,2.064407543
37.455471831,4.369500193
38.547131947,6.713309016
39.527426526,9.105624713
40.311827184,11.568040115
40.657437918,14.126508056
40.063138436,14.606611260
40.425865166,16.208108291
40.321323722,18.610124231
41.094104225,20.628107231
40.526821980,23.037070363
38.723501830,24.733780440
