x,y
33.225253781,30.352988466
33.645746137,30.944618226
32.339679263,31.339199029
30.952238722,31.150278499
30.216384302,32.144316717
29.512228266,31.775838205
28.776592128,31.885706482
28.235744141,31.950535895
27.072440405,31.533091308
25.709663784,31.675681018
25.082421081,31.644952199
23.961026234,30.783434601
22.725033455,31.251627256
21.497662516,31.790738817
20.349142741,31.314474183
19.522866796,30.962363557
18.160742995,31.346115421
16.742497765,31.385709255
15.822383233,30.318306955
15.284583744,30.402119602
14.019122536,30.131496791
12.858618448,29.706101764
11.596791524,29.336071695
10.439562768,29.646819086
9.375017423,30.142010488
8.485572221,29.106007289
7.067673527,28.952351876
5.758107464,28.748250341
4.600784873,28.019931573
3.203637906,27.785650008
1.854763820,27.723256169
0.934271356,26.695948750
-0.483991289,26.532783532
-1.674929504,25.843932364
-2.810332218,25.374071415
-4.065367233,24.788655041
-5.405692362,24.328512995
-6.192765393,23.147973904
-7.222904310,22.162470778
-8.465355743,22.307500059
-9.301036004,21.557420811
-10.052676946,20.354066724
-10.628393909,19.747118062
-11.402956416,19.504489946
-12.405821574,18.591826618
-13.627320694,17.983489011
-14.357645211,17.253515790
-14.442595116,17.026925350
-14.818670789,15.889031241
-15.903862559,15.966498159
-17.013717265,15.157858193
-18.122112002,14.263986636
-18.508402710,12.922013536
-18.862694143,11.988822999
-19.954596081,11.160451661
-21.277181427,10.638471333
-22.222607267,9.617359080
-23.081440542,8.726052065
-23.388438577,7.513901429
-24.695772455,6.952058623
-25.896151605,6.180816378
-25.490542394,4.916729804
-26.266634193,4.210775536
-27.013076441,3.020977016
-27.735567940,3.152958159
-27.720196820,3.220197491
-27.929614317,2.101987670
-28.473946910,0.842495731
-28.835873761,-0.357733757
-29.455740985,-1.300346939
-30.250829628,-1.806958089
-30.633209695,-3.176655859
-31.142941054,-4.509413134
-32.358371047,-4.839517119
-33.222436787,-5.770063427
-33.471898552,-7.175364397
-33.726936561,-8.579018664
-34.148290901,-9.943402463
-34.404403773,-11.346974693
-34.475212301,-12.772926620
-34.459792986,-14.201019153
-34.694817839,-15.575858654
-35.706742471,-16.288250369
-35.121399544,-17.525384983
-34.487140331,-18.696164726
-35.037129359,-19.819599476
-34.511625558,-21.142498518
-34.699058499,-22.552322125
-34.906966288,-23.567155847
-34.743861680,-24.031523047
-34.176343495,-24.832404606
-35.033520706,-25.889107685
-34.540729713,-27.177159605
-34.008898625,-28.408677973
-32.746007473,-28.321070806
-32.794227585,-28.276237064
-32.916512462,-29.420633282
-32.539011582,-30.156489235
-32.092259956,-31.110459092
-31.517019309,-31.310501186
-30.853174644,-31.947851112
-29.837948456,-31.939918602
-29.432985611,-32.060584565
-28.744182336,-32.843591793
-28.971046635,-34.232711241
-27.823506503,-34.320885194
-27.809383662,-33.368298654
-26.397909564,-33.582906832
-25.060268727,-33.186394812
-23.720322677,-32.990655743
-22.389572166,-33.473721747
-21.082878175,-33.752043659
-20.590775355,-32.461591255
-19.424582596,-32.713341527
-18.419535789,-32.165500768
-17.007422689,-32.224425250
-15.579804806,-32.195512495
-14.351728639,-31.627911700
-13.212725297,-30.782272199
-11.870591296,-30.309801336
-10.987316001,-29.202011923
-9.985793074,-28.240366197
-8.768831899,-28.929966309
-7.972803158,-28.434040451
-7.410644835,-27.151920165
-6.441034689,-27.690611406
-6.892047871,-27.049707486
-5.534950853,-26.817837854
-4.397787908,-26.039036609
-3.269375568,-25.464558218
-2.238319117,-25.810308058
-1.141934820,-25.224878739
-0.499727850,-24.885818138
0.676226431,-25.419544718
1.709599379,-24.437256522
2.764105506,-23.475303667
3.952486142,-22.711322830
5.371796695,-22.697375456
5.872180165,-22.486338514
6.790146184,-22.321548033
7.900205120,-21.832744290
9.062223063,-21.020220301
9.386422673,-20.253577945
9.543218378,-20.593536965
10.802879179,-19.927761048
12.025397029,-19.192138918
13.342548217,-18.642310380
14.678512585,-18.137683742
15.943453353,-17.479249733
17.028346789,-16.553905965
16.586190658,-15.910688500
17.891091672,-15.340791062
19.033356766,-14.499087799
19.795174654,-13.298118159
20.396440244,-12.004055059
21.134038390,-10.781316537
21.927318789,-9.593710801
22.749320631,-8.425750612
23.587856926,-7.269588150
24.435635210,-6.120179154
25.287135333,-4.973522428
26.136910212,-3.825587799
26.977732649,-2.671089161
27.796040382,-1.500575354
28.547914848,-0.286966076
28.878098699,1.081416632
28.042168545,2.184642843
28.830812396,2.571148984
29.750103157,3.651798055
30.331449444,4.765712429
30.741989404,5.934217893
31.435022900,4.961213277
31.073937894,6.312060827
30.638577877,7.542942492
31.157561374,8.868891349
31.562643593,8.375526796
32.200555863,9.621942793
32.558008159,10.992399774
33.368323906,12.166963432
34.157771355,13.355008135
34.388229398,14.732629371
35.009469553,15.795147584
35.238402422,16.064880795
35.441593927,17.107698580
35.007894473,17.940128476
35.872762321,18.018649173
35.357792263,18.777520419
36.318354807,19.664240846
36.086586923,21.064707147
36.035914626,22.373996645
37.365526638,22.694530519
38.012286268,23.930650137
38.002891248,25.352226149
37.528712225,26.690397436
36.394360519,27.447941979
35.961328878,27.789792616
36.087738965,27.359670735
35.132741930,28.295766669
34.424019910,29.531291055
33.851720200,30.671399624
