1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.542146,0.353088,0.091983,0.011981,0.000780,0.000020
0.289083,0.407212,0.229445,0.064641,0.009106,0.000513
0.137561,0.334938,0.326206,0.158851,0.038677,0.003767
0.056038,0.218415,0.340518,0.265441,0.103458,0.016130
0.017201,0.107821,0.270343,0.338921,0.212447,0.053268
0.003834,0.039163,0.159998,0.326827,0.333805,0.136372
0.000546,0.009540,0.066643,0.232773,0.406518,0.283980
0.000017,0.000683,0.010897,0.086983,0.347169,0.554252
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
