1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.474650,0.381415,0.122598,0.019703,0.001583,0.000051
0.221173,0.389529,0.274415,0.096660,0.017024,0.001199
0.103697,0.297314,0.340976,0.195525,0.056060,0.006429
0.045696,0.195039,0.332984,0.284246,0.121321,0.020713
0.020030,0.118786,0.281775,0.334203,0.198193,0.047014
0.006776,0.058113,0.199350,0.341928,0.293239,0.100593
0.001177,0.016794,0.095837,0.273451,0.390117,0.222623
0.000056,0.001702,0.020722,0.126142,0.383939,0.467438
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
