1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.590574,0.328003,0.072869,0.008094,0.000450,0.000010
0.298604,0.408262,0.223276,0.061054,0.008348,0.000457
0.130118,0.327637,0.329997,0.166187,0.041846,0.004215
0.049606,0.204238,0.336361,0.276976,0.114038,0.018781
0.018260,0.112016,0.274863,0.337228,0.206872,0.050762
0.005165,0.048208,0.179982,0.335978,0.313590,0.117078
0.000743,0.011982,0.077272,0.249172,0.401740,0.259090
0.000019,0.000748,0.011632,0.090397,0.351255,0.545948
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
