1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.558245,0.345164,0.085366,0.010556,0.000653,0.000016
0.284249,0.406557,0.232597,0.066536,0.009517,0.000544
0.131106,0.328635,0.329508,0.165191,0.041407,0.004152
0.052807,0.211435,0.338628,0.271168,0.108573,0.017389
0.017807,0.110233,0.272965,0.337965,0.209221,0.051808
0.004078,0.040892,0.164013,0.328919,0.329814,0.132285
0.000528,0.009299,0.065539,0.230948,0.406910,0.286776
0.000017,0.000673,0.010787,0.086466,0.346533,0.555523
0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
