x,y
43.091332231,14.481482991
42.016752756,16.318773247
39.849004801,18.566616158
37.710265300,18.987448080
34.674326854,19.677520923
32.433423314,22.295065559
30.760801709,24.926473937
27.481871756,25.761092994
24.708480047,27.396180484
21.419307416,27.547395413
17.944161919,27.668719022
14.477217725,27.383268206
11.009757244,27.090963410
7.532706725,27.093067103
4.748964547,26.849732387
2.013211057,26.653996446
-1.152214174,25.546408978
-2.707206278,25.624810826
-6.018303430,25.260570999
-8.952828036,23.567114855
-10.720870782,22.286082353
-13.540012289,20.289041148
-16.740967768,18.925991574
-19.979003232,17.650870457
-23.147358714,16.213623359
-26.130655064,14.426791537
-28.988992325,12.441789679
-31.786273038,10.371666065
-34.508021426,8.203344267
-37.117909782,5.902078769
-39.517579117,3.384578751
-41.249862776,0.397101726
-41.168128312,-0.585169348
-42.847630120,-3.373251988
-43.718359595,-4.829171612
-43.366148002,-8.280262958
-43.665162399,-10.943624713
-43.614112531,-13.933576290
-42.016550943,-15.825582105
-40.810730572,-18.966126557
-38.463114192,-20.703075136
-37.280598331,-22.360807716
-34.319446016,-23.681053507
-31.585175333,-25.040153062
-28.612040641,-26.087444552
-25.392428548,-26.491136377
-22.413784023,-27.500656619
-19.511526084,-27.105056783
-16.395683503,-28.190603720
-13.043781414,-28.380209530
-10.387116677,-27.652684697
-7.393459691,-27.671774671
-4.113301270,-26.628972085
-0.967424317,-26.392724564
1.293524571,-25.879764372
3.814467252,-24.686719922
7.264672390,-24.802609159
10.623789363,-23.912477035
13.720713663,-22.350621483
16.105719668,-20.812677767
18.799683862,-19.150981901
21.824180234,-17.436753066
24.789926566,-15.684617808
28.045220937,-14.535153425
30.357892666,-12.275644015
32.451918241,-11.090187577
33.776731602,-8.876496934
36.161643673,-6.712526578
38.375077896,-4.049387865
40.046180546,-2.197741772
41.887174582,0.593003075
42.224773425,2.420563842
43.484127085,4.869395159
44.036029594,8.249812733
43.531222150,11.503604398
