x,y
38.519302505,26.627947922
36.993947886,28.053350474
34.832442421,30.299083756
31.743027494,31.443479499
29.191794442,32.716534616
26.242436384,33.895049536
22.827966003,33.291940297
19.443939178,33.503436627
15.945155791,32.955888846
12.558914302,32.660181795
9.077074809,31.970985075
5.620572258,31.037960789
2.506688911,30.158721988
-0.805068367,28.848064845
-3.428119547,27.847004559
-6.868440047,26.797600912
-9.561629708,24.458320405
-12.011647676,24.592300973
-13.464666816,21.679294568
-16.299876941,19.436489165
-19.339732034,17.470994113
-22.420378016,15.569555713
-25.481758001,13.637408767
-28.457846267,11.577288998
-31.173768552,9.191934177
-32.619730203,5.949109838
-33.454011022,5.400075843
-35.487171036,2.810173551
-37.418553911,0.547159878
-38.356194695,-2.238063169
-38.973488382,-4.669514832
-40.060545734,-7.634841974
-40.071758140,-9.613100000
-40.735513880,-12.949483822
-40.148883127,-16.101287951
-39.452341430,-19.058019467
-38.012757792,-22.200534524
-36.134873159,-24.238417143
-33.858372454,-26.925571277
-31.162419203,-28.582000916
-28.838878825,-30.970322591
-28.171404514,-31.285241344
-25.416802968,-32.245568549
-22.713878585,-32.612363301
-20.046828769,-33.597055719
-16.840174530,-33.834849255
-14.746633657,-34.023582096
-11.573499365,-32.351950112
-8.015708933,-31.695796513
-4.419741971,-31.278481267
-0.824158191,-30.857994520
2.732304347,-30.194627369
5.767196065,-28.370626417
7.563970719,-26.266378803
8.364893309,-25.843048470
11.931033018,-26.304940453
15.271137581,-24.965601982
18.211815205,-22.859887701
20.899677400,-20.436370510
23.411874497,-17.830417071
25.787126601,-15.098790826
28.045416782,-12.269599900
30.196000076,-9.357657314
32.238843226,-6.369149046
34.165427131,-3.304458589
35.953270480,-0.156956787
37.552209520,3.090160029
38.833171206,6.473412773
39.241924432,10.037837748
38.765421485,13.143640161
40.423182850,11.710804466
39.938818080,15.214366148
40.863844312,18.354794902
40.554712579,21.552573458
39.163111491,24.536279219
