1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.192324,0.347956,0.279791,0.131238,0.039573,0.007955,0.001066,0.000092,0.000005,0.000000
0.041737,0.158980,0.269140,0.265787,0.168734,0.071413,0.020150,0.003655,0.000387,0.000018
0.011399,0.066071,0.170198,0.255752,0.247058,0.159106,0.068310,0.018854,0.003035,0.000217
0.003172,0.025556,0.091495,0.191086,0.256550,0.229628,0.137021,0.052561,0.011761,0.001170
0.001096,0.011175,0.050624,0.133777,0.227257,0.257372,0.194319,0.094316,0.026703,0.003360
0.000259,0.003510,0.021097,0.073980,0.166772,0.250632,0.251107,0.161732,0.060764,0.010147
0.000018,0.000376,0.003570,0.019790,0.070518,0.167524,0.265314,0.270121,0.160425,0.042345
0.000000,0.000006,0.000118,0.001306,0.009312,0.044263,0.140271,0.285763,0.339596,0.179365
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
