1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.318570,0.388589,0.210665,0.066621,0.013544,0.001836,0.000166,0.000010,0.000000,0.000000
0.109862,0.274996,0.305930,0.198534,0.082825,0.023035,0.004271,0.000509,0.000035,0.000001
0.030348,0.129607,0.246008,0.272388,0.193883,0.092003,0.029105,0.005919,0.000702,0.000037
0.006186,0.042286,0.128473,0.227687,0.259406,0.197030,0.099768,0.032476,0.006167,0.000520
0.000653,0.007401,0.037267,0.109459,0.206680,0.260168,0.218332,0.117787,0.037067,0.005184
0.000039,0.000734,0.006135,0.029904,0.093705,0.195750,0.272614,0.244067,0.127464,0.029586
0.000001,0.000042,0.000589,0.004802,0.025154,0.087844,0.204518,0.306101,0.267248,0.103701
0.000000,0.000000,0.000006,0.000113,0.001347,0.010745,0.057149,0.195406,0.389743,0.345492
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
