1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.353979,0.389663,0.190642,0.054408,0.009982,0.001221,0.000100,0.000005,0.000000,0.000000
0.103679,0.267220,0.306101,0.204539,0.087863,0.025162,0.004804,0.000590,0.000042,0.000001
0.025613,0.115853,0.232902,0.273122,0.205899,0.103481,0.034672,0.007468,0.000938,0.000052
0.005006,0.036108,0.115748,0.216440,0.260182,0.208509,0.111399,0.038261,0.007666,0.000683
0.000744,0.008214,0.040292,0.115293,0.212079,0.260077,0.212625,0.111749,0.034260,0.004668
0.000049,0.000889,0.007152,0.033566,0.101269,0.203686,0.273120,0.235430,0.118382,0.026456
0.000001,0.000038,0.000544,0.004504,0.023973,0.085069,0.201247,0.306057,0.271514,0.107053
0.000000,0.000000,0.000006,0.000109,0.001311,0.010528,0.056378,0.194082,0.389741,0.347845
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
